,model_name,note,loss,acc,prec0,prec1,rec0,rec1,f1sc0,f1sc1,sup0,sup1
0,ZeroR,0,0.6931471824645996,0.49375000099341076,0.49374999999999997,,1.0,0.0,0.631672310917594,0.0,42,27
1,ZeroR,1,0.6931471824645996,0.7145833373069763,0.7145833333333332,,1.0,0.0,0.8320521779641276,0.0,47,22
2,ZeroR,2,0.6931471824645996,0.6520833373069763,0.6520833333333333,,1.0,0.0,0.7846623093681918,0.0,41,28
3,ZeroR,3,0.6931471824645996,0.6479166746139526,0.6479166666666667,,1.0,0.0,0.7857558816678313,0.0,46,23
4,ZeroR,4,0.6931471824645996,0.5291666686534882,0.5291666666666667,,1.0,0.0,0.6843033509700177,0.0,40,29
5,ZeroR,5,0.6931471824645996,0.5229166746139526,0.5229166666666667,,1.0,0.0,0.6849881796690308,0.0,34,35
6,ZeroR,6,0.6931471824645996,0.44583333532015484,0.4458333333333333,,1.0,0.0,0.6143613000755858,0.0,32,37
7,ZeroR,7,0.6931471824645996,0.49791666865348816,0.4979166666666666,,1.0,0.0,0.6617687074829932,0.0,37,32
8,ZeroR,8,0.6931471824645996,0.5187500019868215,0.5187499999999999,,1.0,0.0,0.6781789638932496,0.0,39,30
9,ZeroR,9,0.6931471824645996,0.5625,0.5625,,1.0,0.0,0.7189542483660131,0.0,40,28
10,ZeroR,wt_avg,0.6931471824645996,0.5585416699449222,0.5659024288107202,0.0,1.0,0.0,0.713483668635637,0.0,,
