,model_name,acc,prec,rec,f1sc
0,XGBClassifier,0.6938978343085551,0.696741453581205,0.6864217997202506,0.6881941309810151
1,XGBClassifier,0.6938978343085551,0.696741453581205,0.6864217997202506,0.6881941309810151
18,XGBClassifier,0.6938978343085551,0.696741453581205,0.6864217997202506,0.6881941309810151
17,XGBClassifier,0.6938978343085551,0.696741453581205,0.6864217997202506,0.6881941309810151
16,XGBClassifier,0.6938978343085551,0.696741453581205,0.6864217997202506,0.6881941309810151
15,XGBClassifier,0.6938978343085551,0.696741453581205,0.6864217997202506,0.6881941309810151
14,XGBClassifier,0.6938978343085551,0.696741453581205,0.6864217997202506,0.6881941309810151
13,XGBClassifier,0.6938978343085551,0.696741453581205,0.6864217997202506,0.6881941309810151
12,XGBClassifier,0.6938978343085551,0.696741453581205,0.6864217997202506,0.6881941309810151
11,XGBClassifier,0.6938978343085551,0.696741453581205,0.6864217997202506,0.6881941309810151
10,XGBClassifier,0.6938978343085551,0.696741453581205,0.6864217997202506,0.6881941309810151
9,XGBClassifier,0.6938978343085551,0.696741453581205,0.6864217997202506,0.6881941309810151
8,XGBClassifier,0.6938978343085551,0.696741453581205,0.6864217997202506,0.6881941309810151
7,XGBClassifier,0.6938978343085551,0.696741453581205,0.6864217997202506,0.6881941309810151
6,XGBClassifier,0.6938978343085551,0.696741453581205,0.6864217997202506,0.6881941309810151
5,XGBClassifier,0.6938978343085551,0.696741453581205,0.6864217997202506,0.6881941309810151
4,XGBClassifier,0.6938978343085551,0.696741453581205,0.6864217997202506,0.6881941309810151
3,XGBClassifier,0.6938978343085551,0.696741453581205,0.6864217997202506,0.6881941309810151
2,XGBClassifier,0.6938978343085551,0.696741453581205,0.6864217997202506,0.6881941309810151
19,XGBClassifier,0.6938978343085551,0.696741453581205,0.6864217997202506,0.6881941309810151
