,model_name,loss,acc,prec0,prec1,rec0,rec1,f1sc0,f1sc1,sup0,sup1
0,FeatureMLP: 0,0.47899433970451355,0.8237500071525574,0.8514285714285714,0.76,0.895888897656435,0.8016239316239316,0.8582675646287138,0.7261172161172161,89,49
1,FeatureMLP: 1,0.5771923422813415,0.6700000047683716,0.7737659365805819,0.4956721056721056,0.6940909090909091,0.5813725490196078,0.7290308657750518,0.5285142586195218,87,51
2,FeatureMLP: 2,0.579014927148819,0.6625,0.6176931216931217,0.8675324675324674,0.9474173169825344,0.3756996658312448,0.7378968045178717,0.5,74,64
3,FeatureMLP: 3,0.5444203019142151,0.7225000023841858,0.6783882783882784,0.840909090909091,0.8822222222222221,0.5689610389610389,0.7562371362071287,0.6613766233766233,69,69
4,FeatureMLP: 4,0.48781182169914244,0.7715277791023254,0.7768398268398269,0.744090909090909,0.8860319917440661,0.6633785822021115,0.8194684177611007,0.6639130434782609,79,58
