,model_name,note,loss,acc,prec0,prec1,rec0,rec1,f1sc0,f1sc1,sup0,sup1
0,SVC,0,0.6985238194465637,0.782608695652174,0.8,0.75,0.8571428571428571,0.6666666666666666,0.8275862068965517,0.7058823529411765,42,27
1,SVC,1,0.7399147152900696,0.7391304347826086,0.8085106382978723,0.5909090909090909,0.8085106382978723,0.5909090909090909,0.8085106382978723,0.5909090909090909,47,22
2,SVC,2,0.7070084810256958,0.7101449275362319,0.723404255319149,0.6818181818181818,0.8292682926829268,0.5357142857142857,0.7727272727272727,0.6,41,28
3,SVC,3,0.6956982016563416,0.8260869565217391,0.8148148148148148,0.8666666666666667,0.9565217391304348,0.5652173913043478,0.88,0.6842105263157895,46,23
4,SVC,4,0.6937229633331299,0.6956521739130435,0.6862745098039216,0.7222222222222222,0.875,0.4482758620689655,0.7692307692307693,0.5531914893617021,40,29
5,SVC,5,0.6451879143714905,0.7101449275362319,0.6666666666666666,0.7777777777777778,0.8235294117647058,0.6,0.7368421052631579,0.6774193548387096,34,35
6,SVC,6,0.646855890750885,0.7101449275362319,0.6428571428571429,0.8148148148148148,0.84375,0.5945945945945946,0.7297297297297297,0.6875,32,37
7,SVC,7,0.6710796356201172,0.6956521739130435,0.6666666666666666,0.7619047619047619,0.8648648648648649,0.5,0.7529411764705882,0.6037735849056604,37,32
8,SVC,8,0.6872461438179016,0.7101449275362319,0.7317073170731707,0.6785714285714286,0.7692307692307693,0.6333333333333333,0.75,0.6551724137931034,39,30
9,SVC,9,0.681554913520813,0.7794117647058824,0.7551020408163265,0.8421052631578947,0.925,0.5714285714285714,0.8314606741573034,0.6808510638297872,40,28
10,SVC,wt_avg,0.6866792678833008,0.7359121909633419,0.7357725257411861,0.7522546386445825,0.8567839195979899,0.570446735395189,0.7901027715243888,0.6454472617303346,,
