,model_name,note,loss,acc,prec0,prec1,rec0,rec1,f1sc0,f1sc1,sup0,sup1,mcc
5,LSTM_Feature,1_wt_avg,0.620863424539566,0.7163088554143906,0.7711247493608991,0.687403543378047,0.754645818319047,0.6753349283477591,0.7484218653910834,0.6579452056107975,80.49748743718592,60.49828178694158,0.43605813850201003
5,LSTM_Feature,2_wt_avg,0.603135604262352,0.7042887043952942,0.7607217650109742,0.6712995091130061,0.7273619632797674,0.6875697482671406,0.7287912871620157,0.6608203452024934,80.49748743718592,60.49828178694158,0.41207731708548073
5,LSTM_Feature,3_wt_avg,0.5810121792554857,0.7351102465391159,0.7735980064227279,0.6784864724813178,0.7672235290284598,0.6745926822094195,0.7668122292932916,0.6696120143813918,80.49748743718592,60.49828178694158,0.4396354469705204
5,LSTM_Feature,4_wt_avg,0.6043759095668794,0.7245451122522354,0.744106598560286,0.7040334123194549,0.6015073815786162,0.6888543926930828,0.7285780179439103,0.6857081725198797,80.49748743718592,60.49828178694158,0.42421350845925926
5,LSTM_Feature,5_wt_avg,0.6355708265304566,0.6887265163660049,0.7575891418249228,0.6132350771257925,0.6767527317515076,0.6867166445395675,0.7081942771002671,0.6396154456246429,80.49748743718592,60.49828178694158,0.36353310560931257
5,LSTM_Feature,6_wt_avg,0.6450086146593094,0.6999564373493194,0.786172357095724,0.6817438163311739,0.6842207816060634,0.7442564911000326,0.7010150118339853,0.678432049066422,80.49748743718592,60.49828178694158,0.4357985758596247
5,LSTM_Feature,7_wt_avg,0.5779908710718156,0.7385678261518478,0.7633342858803552,0.7179737821642005,0.7754497424465687,0.6828756590309046,0.7626471342334952,0.6848689407267066,80.49748743718592,60.49828178694158,0.458831422950772
5,LSTM_Feature,8_wt_avg,0.5844946992397307,0.7362004506587982,0.783571514627672,0.5208244590461086,0.7738884972179263,0.6548842126704307,0.7679347069673561,0.6493330906842428,80.49748743718592,60.49828178694158,0.4442561746775242
5,LSTM_Feature,9_wt_avg,0.6003474766016007,0.7211668348312378,0.7545061891432906,0.6981303425815252,0.7764258882951316,0.6425287658459278,0.7565678121388597,0.6546053200165293,80.49748743718592,60.49828178694158,0.42755124527468774
5,LSTM_Feature,10_wt_avg,0.5807292479276658,0.7480247020721436,0.7782868724012746,0.6614905192285423,0.7915027274256918,0.6293520795135013,0.7784511333716491,0.6348884248823932,80.49748743718592,60.49828178694158,0.42880301937148857
5,LSTM_Feature,11_wt_avg,0.5962605595588684,0.720876162648201,0.7739383683840031,0.6490648111217195,0.7376066405491505,0.6973264877738082,0.7474592744119513,0.6599105218490784,80.49748743718592,60.49828178694158,0.4156213064367911
5,LSTM_Feature,12_wt_avg,0.6069756335020066,0.7013141965866089,0.7821013608418124,0.6521055930299172,0.6870820924582709,0.7411321668022699,0.7157731945371979,0.6759325669636441,80.49748743718592,60.49828178694158,0.42314833430682225
5,LSTM_Feature,13_wt_avg,0.6002853810787202,0.7421822535991669,0.7896832773192222,0.7073140328286988,0.7638416356484329,0.7194566322726931,0.7667835015661841,0.6958723804367501,80.49748743718592,60.49828178694158,0.48497209517588075
5,LSTM_Feature,14_wt_avg,0.5645973378419876,0.7213330769538879,0.7501651623572009,0.6770546777975522,0.7872384963418497,0.6240062633725459,0.761824401494842,0.6398670061194152,80.49748743718592,60.49828178694158,0.39720174579579126
5,LSTM_Feature,15_wt_avg,0.6059934157133103,0.7312213605642318,0.7533513184166049,0.7362291191278456,0.8198062936329642,0.4999557409244301,0.7750964586711806,0.6344255257843939,80.49748743718592,60.49828178694158,0.4366437601892773
5,LSTM_Feature,16_wt_avg,0.5899692916870116,0.7099602133035661,0.7770577680590958,0.6568069654667593,0.7217461830790953,0.7057735095635258,0.7361948393552176,0.6631359807177697,80.49748743718592,60.49828178694158,0.4239943290838206
5,LSTM_Feature,17_wt_avg,0.5623590388894081,0.7510321807861329,0.8008324203167986,0.7098894986349557,0.7529344570412138,0.7437695461558408,0.7665865231916137,0.7143617728171896,80.49748743718592,60.49828178694158,0.4930743636914328
5,LSTM_Feature,18_wt_avg,0.600417463183403,0.7122276592254637,0.7338965113538836,0.7120013911251024,0.7967225171049245,0.6109141234030322,0.7548804043093778,0.6374796867984411,80.49748743718592,60.49828178694158,0.4158770093116459
5,LSTM_Feature,19_wt_avg,0.6025855445861816,0.7229514843225479,0.7579365292723882,0.7124349603421449,0.7746461159638298,0.6495172175393044,0.756357920191229,0.6614940953493327,80.49748743718592,60.49828178694158,0.44017548411653173
5,LSTM_Feature,20_wt_avg,0.6058525121212005,0.7136999934911727,0.7912733153756285,0.6173473005780464,0.7213219372508465,0.5270826671812118,0.7445662336310002,0.6217466249599637,80.49748743718592,60.49828178694158,0.4015719905983842
5,LSTM_Feature,wt_avg,0.5984412515908482,0.7219847133755685,0.7691623756012382,0.6732434641910955,0.7445962715009679,0.6642949979603215,0.7486468113397853,0.661002758525574,80.49748743718594,60.498281786941575,0.4301519186733529
