,model_name,note,loss,acc,prec0,prec1,rec0,rec1,f1sc0,f1sc1,sup0,sup1
0,LSTM_Feature,0,0.5481712818145752,0.7578125,0.9054054054054055,0.6851851851851851,0.6447368421052632,0.8653846153846154,0.7333333333333334,0.7584905660377359,40,28
1,LSTM_Feature,1,0.6867963373661041,0.6484375,0.7598039215686274,0.36666666666666664,0.7252252252252251,0.4074074074074074,0.7417840375586855,0.38596491228070173,40,28
2,LSTM_Feature,2,0.3688370957970619,0.8828125,0.921875,0.84375,0.8648648648648649,0.9074074074074074,0.8913043478260869,0.8728813559322034,40,28
3,LSTM_Feature,3,0.400635302066803,0.890625,0.9078947368421053,0.8653846153846154,0.9078947368421053,0.8653846153846154,0.9078947368421053,0.8653846153846154,40,28
4,LSTM_Feature,4,0.6903381049633026,0.65625,0.6710526315789473,0.6346153846153846,0.6710526315789473,0.6346153846153846,0.6710526315789473,0.6346153846153846,40,28
5,LSTM_Feature,5,0.5957166850566864,0.6484375,0.5972222222222222,0.8571428571428572,0.8974358974358974,0.5666666666666667,0.6633333333333333,0.6273584905660378,40,28
6,LSTM_Feature,6,0.5041311830282211,0.7734375,0.9078947368421053,0.6346153846153846,0.7522522522522522,0.8703703703703703,0.8133333333333334,0.7106918238993711,40,28
7,LSTM_Feature,7,0.6578572392463684,0.7578125,0.4189189189189189,0.8333333333333333,,0.75,0.4025974025974026,0.7815126050420168,40,28
8,LSTM_Feature,8,0.7069631516933441,0.65625,0.6625,0.6458333333333333,0.6842105263157895,0.6153846153846154,0.6730769230769231,0.63,40,28
9,LSTM_Feature,9,0.40521179139614105,0.8828125,0.8947368421052632,0.8653846153846154,0.9054054054054055,0.8518518518518519,0.9,0.8584905660377358,40,28
10,LSTM_Feature,wt_avg,0.5564658172428608,0.75546875,0.7647304415483595,0.7231911375661376,0.7053078382025751,0.7334472934472935,0.739771007948015,0.7125390319795802,,
