,model_name,loss,acc,prec,rec,f1sc
0,ZeroR,0.6931471824645996,0.6068750018874803,0.3071686557788945,0.5,0.37201809728191704
1,ConvNN,0.5489512503147125,0.6927083358168601,0.6761395853706835,0.6563407508457291,0.6564208127481357
2,FeatureMLP,0.5263570566972098,0.7402083367109299,0.6539666715401302,0.6836754782924809,0.690137448949969
3,RandomForestClassifier,0.6222190082073211,0.8084185848252344,0.813747848095977,0.7953685955550951,0.7999168687245448
